bra,ket,ahb,norm
2,11,0.00030493285157717764,-1.2253548220542143e-06
2,12,-8.896247891243547e-05,9.683607231636415e-07
2,13,-6.065990964998491e-05,3.2930776683315344e-07
2,14,-5.233637784840539e-05,1.727940571072395e-06
2,15,-0.0014650017255917192,1.634809814277105e-05
2,16,-0.00014368111442308873,3.603270499752398e-07
2,17,-0.01337901409715414,0.0001406569208484143
2,18,-7.999173976713791e-05,1.2721213806798914e-06
2,19,0.014763870276510715,-0.00015633193834219128
2,20,0.000560886284802109,-3.3450539831392234e-06
2,21,-0.00011191399244125932,1.0065251672131126e-06
2,22,-0.00015602614439558238,1.2268291129657882e-06
2,23,-8.643772889627144e-05,1.0251060302834958e-06
2,24,5.191982563701458e-05,1.0952107913908549e-06
2,25,-1.635236549191177e-05,1.3582396150013665e-06
2,26,7.517656740674283e-06,1.169365873465722e-06
2,27,-0.000138881106977351,1.8622426978254225e-06
2,28,0.00791130680590868,-7.412285776808858e-05
2,29,0.004428526386618614,-4.042443833895959e-05
2,30,-0.00019222554692532867,1.463451098970836e-06
2,31,-5.178420906304382e-06,1.036338161952699e-07
2,32,-0.00010911332356045023,6.48601542252436e-07
2,33,-3.02257575413023e-07,1.0969339427902014e-06
2,34,0.000300992134725675,-1.4441856137636933e-06
2,35,0.004409229848533869,-3.7433266697917134e-05
2,36,-9.02120373211801e-05,7.137497277653893e-07
2,37,-0.000346219603670761,1.981437662834651e-06
2,38,-0.00015741339302621782,1.603838768460264e-06
2,39,-0.00019853923004120588,1.7460980643591029e-06
2,40,8.167657506419346e-05,1.8281064058101038e-06
2,41,-3.175679375999607e-05,1.2065227110724663e-06
2,42,-0.00018954540428239852,1.1053219850509777e-06
2,43,-0.0002046672598225996,1.8754436723611434e-06
2,44,-0.00013448701065499336,2.237316266473499e-06
2,45,7.650860061403364e-05,-4.367617378875366e-08
2,46,0.012302129529416561,-0.00010183807171415538
2,47,-0.00018575751164462417,3.2106911476148525e-06
2,48,-0.00013506038521882147,1.7044551441358635e-06
2,49,-0.0009094226406887174,9.330913599114865e-06
2,50,0.0002026698348345235,-1.017803697322961e-06
3,3,-0.3199508488178253,0.19293950498104095
3,4,0.04854504391551018,-0.0007070647552609444
3,5,-0.15592901408672333,0.004597106482833624
3,6,0.0043923803605139256,-4.372636976768263e-05
3,7,0.014230521395802498,-0.0001806125364964828
3,8,0.40372949838638306,-0.006483606994152069
3,9,0.017870837822556496,-0.0002179978328058496
3,10,0.08909028023481369,-0.0018323149997740984
3,11,-0.00012591000995598733,-2.9737245199612516e-07
3,12,-0.18058618903160095,0.003214030060917139
3,13,2.9815282687195577e-05,1.3224197346062283e-06
3,14,-0.0025105306413024664,2.9814789741067216e-05
3,15,0.0014891502214595675,-1.3026099622948095e-05
3,16,0.0028626287821680307,-2.9580947739304975e-05
3,17,0.05580306425690651,-0.0007307713385671377
3,18,-0.00011236773570999503,4.5213973862701096e-06
3,19,-0.23339925706386566,0.004514067899435759
3,20,0.006815599277615547,-0.00018120788445230573
3,21,-0.01710631512105465,0.00023700362362433225
3,22,-0.06261159479618073,0.0016440668841823936
3,23,-0.059395208954811096,0.0018547663930803537
3,24,-0.011612620204687119,0.00014784923405386508
3,25,0.0007103898678906262,-7.78632875153562e-06
3,26,0.0012106981594115496,-1.3422274605545681e-05
3,27,0.4102177023887634,-0.01274680346250534
3,28,-0.5417741537094116,0.01649702899158001
3,29,-0.22501066327095032,0.00526548083871603
3,30,-0.0008979058475233614,1.00912338893977e-05
3,31,-0.00011031646863557398,1.1110361128885415e-06
3,32,0.07266274094581604,-0.001325189252384007
3,33,-0.031509388238191605,0.0005827403510920703
3,34,0.012461300007998943,-0.00018611268023960292
3,35,0.021378571167588234,-0.0002896366349887103
3,36,-0.037424370646476746,0.0006673290045000613
3,37,0.385979026556015,-0.008579408749938011
3,38,0.867244303226471,-0.050666116178035736
